2025-02-24 23:11:24,227 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,327 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,427 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,527 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,619 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,707 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,803 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,897 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:24,993 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:25,217 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:25,319 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:25,420 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:25,523 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:25,632 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:25,738 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:25,904 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:26,072 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:26,269 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:26,442 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:26,616 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:26,775 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:26,908 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,006 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,106 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,200 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,299 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,433 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,571 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,718 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:27,955 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:28,055 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:28,157 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
